EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,Coef_Var_PE,Coef_Var_LNE,Var_Prop_PE,Var_Prop_LNE,Autocorr_PE,Autocorr_LNE,Razon_LNE_PE,PE,LNE,TC_LNE_2019,NUM_SECC_RUR,Area_Km2,Densidad_LNE
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,0.009707984730013523,0.00890256385437869,0.020040583176703014,0.017733047222859545,0.9883930850292255,0.9709136635627342,0.9892716837413311,35518.0,34917.0,0.037498142920814145,3,9.791575896,3566.0245471072844
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,0.003116563044383938,0.002355727294210898,0.005584361715393685,0.008887311775021608,0.7917909284194103,0.9516873162442828,0.991803408929023,7004.0,6914.0,0.00028935185185185184,4,148.866104423,46.44442082231164
1,AGUASCALIENTES,9,TEPEZALA,0.00391110756547574,0.005070021511060635,0.007903002148146605,0.011920564133364566,0.9692944272831291,0.8325753215439927,0.9906353256276795,15733.0,15545.0,0.0051079787921893185,6,6.271494816,2478.6754124935565
1,AGUASCALIENTES,11,EL LLANO,0.005732611585550185,0.0047682343617367826,0.009982891122323444,0.014231600764823323,0.9388683229173774,0.9627026413393395,0.9910163386198628,15298.0,15067.0,-0.0033734620981611322,6,10.006312126000001,1505.7495519103898
1,AGUASCALIENTES,2,ASIENTOS,0.0056501706478623605,0.004823729455923065,0.009251696591453086,0.01539656625007232,0.9937965537727733,0.8372353070461065,0.989079872113203,34722.0,34222.0,0.0018736459980092512,11,23.049424270999996,1484.722550881974
1,AGUASCALIENTES,3,CALVILLO,0.004411793237728142,0.0042045312487998315,0.011726076095912693,0.015719269115307,0.9952278312864813,0.9514966387030342,0.9911496521656051,46896.0,46424.0,-0.006144163045107148,14,125.409414448,370.179545166837
1,AGUASCALIENTES,4,COSIO,0.005042862036240297,0.004610730949871381,0.0076242765558195815,0.013460547546758982,0.999652385657875,0.9030287576329388,0.989895850669894,11789.0,11623.0,-0.0024888431170614488,2,4.311295402000001,2695.9414552313247
1,AGUASCALIENTES,5,JESUS MARIA,0.006293011081602795,0.005275601247676056,0.011287834047519922,0.01135704992385827,0.9914156698279776,0.8127663938062232,0.9911337159774043,83556.0,82404.0,0.013080895008605853,6,27.645668905999997,2980.720064332236
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,0.005099881537464142,0.003661062097759392,0.008365022424687585,0.009360989005979634,0.9965340490342365,0.8125100693315562,0.9928562557461952,31658.0,31272.0,0.002339818583928972,5,6.040941318000001,5176.676672362272
1,AGUASCALIENTES,7,RINCON DE ROMOS,0.005067465336525308,0.004400879166481066,0.008010478858221171,0.01216676373822124,0.9682924213392049,0.914624113317225,0.9920791319702101,38010.0,37605.0,0.001918311885540724,6,10.755967156999999,3496.1988495406117
1,AGUASCALIENTES,1,AGUASCALIENTES,0.005751717185435342,0.004333675480494262,0.009498466575990069,0.01241970558366465,0.9957976454831708,0.7074016671405224,0.9907184444392284,658689.0,648368.0,0.00047063325633464647,9,113.41659684500009,5716.694187942238
2,BAJA CALIFORNIA,2,MEXICALI,0.0055239846535932785,0.004873025710965187,0.009353140254785921,0.01515189110426138,0.9960942022527008,0.8814444368164466,0.989305738683475,800806.0,789602.0,0.0035242727454122815,41,359.55514209100005,2196.052587116552
2,BAJA CALIFORNIA,4,TIJUANA,0.006301791584731201,0.00526039956452192,0.010505616514216295,0.013748992510608035,0.996296260872931,0.795296402188006,0.9889809900644216,1458478.0,1435734.0,0.005466662184647965,26,217.7824267549998,6592.51538975258
2,BAJA CALIFORNIA,3,TECATE,0.006112972685821982,0.00527410765449532,0.012550640559760618,0.020106376169751073,0.9955439325638678,0.8916304667660161,0.9882333661288336,86553.0,85233.0,-0.012604117190486671,3,50.12094497600001,1700.5465487694435
2,BAJA CALIFORNIA,1,ENSENADA,0.005747118907835694,0.004259859206265815,0.00971469639535674,0.013986895231114222,0.9806382398406593,0.8182641073018122,0.9885625739612709,406416.0,399621.0,0.0003279180955718541,37,25878.080982959997,15.442451094543657
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,0.007803162873209049,0.0064246121170223,0.012611820367892681,0.015825238661997455,0.993352914420206,0.8703661940590751,0.9873434077973393,99154.0,97429.0,0.008070440459808172,2,32.969442948,2955.1303051636864
3,BAJA CALIFORNIA SUR,1,COMONDU,0.0029283137444751184,0.002254425990033091,0.02058406912624689,0.02426130145944955,0.9943885121160573,0.7089704407684138,0.9867651992479329,54549.0,53927.0,0.06710068070286529,24,3582.170476709,15.054280735835787
3,BAJA CALIFORNIA SUR,3,LA PAZ,0.004730643882320732,0.003102523667867145,0.022040030131708212,0.02274664077228311,0.9998407848765847,0.8444569331535277,0.9897259074676353,209313.0,206629.0,0.059244791666666664,28,5880.873121754001,35.13576908089659
3,BAJA CALIFORNIA SUR,5,LORETO,0.0018127541996074514,0.0005215973829663722,0.021537730176842865,0.021144518668083073,0.708945467466848,-0.4342360901394876,0.9859787741263006,12063.0,11866.0,0.049716914366595893,4,2289.027199092,5.183861513182083
3,BAJA CALIFORNIA SUR,4,LOS CABOS,0.007486276267858386,0.005170683296503686,0.03085540718292218,0.030522638755431195,0.9899774202040715,0.908330261933345,0.9888475879426963,224412.0,221022.0,0.08032729192327996,11,297.7220173409999,742.3770736675127
3,BAJA CALIFORNIA SUR,2,MULEGE,0.0028730070921093582,0.002128438360648337,0.02562594491880429,0.02870242461274939,0.8823129262392774,0.288920596654596,0.9824513257214065,41452.0,40805.0,0.07835623678646934,17,8106.91045005,5.033360150135658
4,CAMPECHE,8,TENABO,0.0034701293497694896,0.0030167952601839417,0.02039073161551884,0.023773107148263483,0.9358873972134777,0.36760719916761697,0.9898812373365328,8196.0,8120.0,0.06561679790026247,4,7.473027089000001,1086.5744099807048
4,CAMPECHE,9,ESCARCEGA,0.003457217720689081,0.0037756968038086505,0.01896332720140506,0.021808906779042285,0.9917977304264886,0.42213856650828646,0.9836395518980964,41223.0,40540.0,0.06295393167099295,15,20.319618929000004,1995.1161555565209
4,CAMPECHE,5,HECELCHAKAN,0.004015193070601572,0.002602980611984567,0.019576838721889943,0.022076330513612123,0.9943619668526373,0.7759924667503394,0.9891586241183739,22495.0,22198.0,0.06205444715563849,7,17.00827006,1305.1297940173934
