EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,Estrato
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-0.2908266404620893,1.3043697139226684,-0.4705422839829626,1.2496917651911648,-0.9853889140365072,0.3433945056137232,-0.8830194599689731,G1
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-0.2150215575073458,-0.9763965179404368,-0.4239189727908438,1.3869891636623737,-1.2602669158691056,-0.6253957601562591,0.3042957338079009,G2
1,AGUASCALIENTES,9,TEPEZALA,-0.5974347753668594,0.0719778189953523,-0.7162788378083415,1.371427812287875,-0.870282353002209,-0.3096555094237446,-0.6478315895686981,G1
1,AGUASCALIENTES,11,EL LLANO,-0.3826815203855269,-0.2789366024010211,-0.606073528831875,1.675444579585722,-0.9968783385384976,-0.4625729192589194,-0.2893893580450913,G2
1,AGUASCALIENTES,2,ASIENTOS,-0.4284000201891214,-0.2321136902073903,-0.3206116455500877,1.5336384134672918,-0.4328504934305731,-0.508456295049494,-0.3352649789754293,G2
1,AGUASCALIENTES,3,CALVILLO,-0.4684968052343518,-0.8088610362726194,-0.0367834436939771,1.9458933934558529,-0.5215897518464014,-0.5048592972087169,0.0509360630218446,G2
1,AGUASCALIENTES,4,COSIO,-0.5476977962938686,0.2232200330912858,-0.9877860834992912,1.3753803634464716,-1.0942794271325809,-0.5960497093251618,-0.6080516455496316,G1
1,AGUASCALIENTES,5,JESUS MARIA,-1.0701054782400103,0.5087996877862498,-0.6021191902848223,1.326352879009142,-0.776900232739916,-0.1309614269941067,-0.4360081237498056,G1
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-1.711365058014359,0.6933588932939032,-1.117652551919734,1.2049736557899025,-1.2234224447811903,-0.3781584173978665,-1.4993306951516845,G1
1,AGUASCALIENTES,7,RINCON DE ROMOS,-1.1474837816609609,0.3355857681358054,-0.781649083283799,1.479333508188826,-1.1040718361710653,-0.3702164180954085,-0.8854229305676997,G1
