EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
12,GUERRERO,1,ACAPULCO DE JUAREZ,53,573423.0,1608.9855285300318,0.9875773101874322,0.0243720747436492,0.0014584830021283,0.0083773260016519,-0.0968771629939843,-4.410903727119703,0.2114406843366632,2.215129699949162,1.48384280734135,3.70957687903977,-0.1842864111160156,1.4650202359707434,G1,Atípica en ICE principal
13,HIDALGO,47,PACHUCA DE SOTO,2,229776.0,2363.7362492896364,0.9878424948785368,0.0471685215061114,0.0020865324733979,0.0185841996296482,0.0531019383790198,-1.7634796570221023,0.7316856421620078,-0.566388107981736,-0.3928509591577058,0.2360805226734125,-0.0154751074013877,0.8734329634601393,G1,Tipica
14,JALISCO,41,GUADALAJARA,0,1235224.0,12447.353069145996,0.9893817300054604,0.0587005115124586,0.0016943796530708,0.02164364647653,0.0058324895506191,-9.62511229105141,7.646353940304774,-0.5104149772188102,0.1632120743601869,1.8974784381037515,0.0516353145840169,3.2363091288618158,G3,Tipica
15,MEXICO,60,NEZAHUALCOYOTL,0,852207.0,24276.021766499027,0.9885120728368896,0.0445594978507157,0.0019305211771857,0.0173893851859843,-0.1906774960655052,-10.845347747119336,9.820306640602563,-2.8114232137722506,-0.8699849357720486,0.8862231416836558,-0.460802470132708,-3.43004184540972,G3,Tipica
16,MICHOACAN,54,MORELIA,29,611330.0,1872.366121093242,0.988685174402851,0.0610936382634535,0.0028023209596235,0.0225652721995715,0.4982260970556477,-3.8800737686838,1.6603094251528172,2.003847608093073,1.155287094517993,1.7719035672703078,0.1489937132225467,2.3950298630273203,G1,Atípica en ICE principal
17,MORELOS,7,CUERNAVACA,1,311797.0,3760.29157485318,0.9881214600335512,0.0607216242328575,0.002070364294128,0.0218998080317133,-0.0593130187917593,-2.548254052708174,1.5162935316961943,-0.5821332918862226,-0.7066568007291428,0.3698942158050805,0.2052951196842761,0.8847005049922335,G1,Tipica
18,NAYARIT,17,TEPIC,29,306177.0,319.982758027525,0.9903096386929316,0.0496261582922238,0.0020019507298231,0.0178552066999184,0.5047443042736013,-2.171892096870622,-0.2359039837939928,1.644692791756917,1.0087935272462156,0.9972021957710752,0.0819403731790186,1.151227813532656,G0,Atípica en ICE principal
19,NUEVO LEON,40,MONTERREY,1,931301.0,5879.643515550649,0.9881870616133492,0.0716434226272668,0.002813905464815,0.0261855686001045,0.5682371547274533,-5.940124779789341,4.982856674604002,0.6551706348291546,0.5672755196576221,0.944911221236676,0.0574835922452823,3.7913309295157447,G3,Tipica
20,OAXACA,66,OAXACA DE JUAREZ,0,221359.0,3802.931585639848,0.9892466712837884,0.0415668744853546,0.0016386718588379,0.0155442532244558,-0.1082993532030264,-2.292108975608406,0.9416253610616556,-1.0977216940396484,-0.5932699282785167,0.143232047725039,0.0548788662377092,0.3657668675574159,G1,Tipica
21,PUEBLA,115,PUEBLA,3,1279745.0,4191.464556154379,0.9892250167642148,-0.0071368500105512,0.0028340282404606,0.0166464308221663,0.0368791043913725,-7.773965614139899,4.819993407310254,-0.3367356311051551,1.888367664642944,2.845506329440087,-0.3343383628746891,6.429380722252317,G3,Tipica
