EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
9,CIUDAD DE MEXICO,7,IZTAPALAPA,0,1463720.0,17230.453735445353,0.9883735921545502,0.0462496497538269,0.0017897256523281,0.0177827871480973,-0.1632901745066061,-12.048907600694548,9.917033898976522,-1.1427565397827724,0.2229499097641928,2.570150605589363,-0.204828790544863,2.83612678736896,G3,Tipica
15,MEXICO,60,NEZAHUALCOYOTL,0,852207.0,24276.021766499027,0.9885120728368896,0.0445594978507157,0.0019305211771857,0.0173893851859843,-0.1906774960655052,-10.845347747119336,9.820306640602563,-2.8114232137722506,-0.8699849357720486,0.8862231416836558,-0.460802470132708,-3.43004184540972,G3,Tipica
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,0,1032426.0,18322.312099191524,0.9883783744117296,0.0456672848277741,0.0014924712451383,0.0179354943399087,-0.1117452268486977,-10.177990916078258,8.638142009010176,-1.7614180258223369,-0.3478789446316797,1.4441526162448883,-0.3667824133563413,-0.1448325916383713,G3,Tipica
15,MEXICO,34,ECATEPEC DE MORELOS,0,1234991.0,13617.495605466343,0.988558844805438,0.0519371115896205,0.0018342307825666,0.0199256185672223,-0.1543045464754687,-9.924663420919874,7.95351080625088,-0.8987408663883683,0.0275269347609736,2.146126450958442,-0.0311072294895619,2.802597636256888,G3,Tipica
14,JALISCO,41,GUADALAJARA,0,1235224.0,12447.353069145996,0.9893817300054604,0.0587005115124586,0.0016943796530708,0.02164364647653,0.0058324895506191,-9.62511229105141,7.646353940304774,-0.5104149772188102,0.1632120743601869,1.8974784381037515,0.0516353145840169,3.2363091288618158,G3,Tipica
2,BAJA CALIFORNIA,4,TIJUANA,26,1435734.0,6592.51538975258,0.9889809900644216,0.0054666621846479,0.0052603995645219,0.013748992510608,0.795296402188006,-9.091774062699605,6.306996212545495,1.6123117842513202,3.4078696254687157,3.3651931466995904,-0.3744142470755009,5.642327101375784,G3,Tipica
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,0,477446.0,20572.568589516264,0.9868572586715376,0.0435932520513571,0.0016550587784794,0.016976316845636,-0.1107815915560259,-7.841070377868851,7.371881256503682,-2.7386283755035947,-1.1744826081356312,0.1995668873759813,-0.6596121224563819,-4.29843529354661,G3,Tipica
21,PUEBLA,115,PUEBLA,3,1279745.0,4191.464556154379,0.9892250167642148,-0.0071368500105512,0.0028340282404606,0.0166464308221663,0.0368791043913725,-7.773965614139899,4.819993407310254,-0.3367356311051551,1.888367664642944,2.845506329440087,-0.3343383628746891,6.429380722252317,G3,Tipica
9,CIUDAD DE MEXICO,6,IZTACALCO,0,353944.0,20177.362431646623,0.988163956904509,0.0444122481137114,0.0016873988032442,0.0174068574682701,-0.1829186178606496,-7.235252847805625,6.662411869808193,-2.918159106404604,-1.348234356783693,-0.0886787212799072,-0.4657471329929309,-4.89261876618321,G3,Tipica
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,0,366539.0,19859.099763302325,0.986668776008158,0.0435660252194387,0.0015966825397231,0.017951144900825,-0.0596885174987668,-7.066362357051903,6.765415395016137,-2.7389167624798376,-1.2423856004762976,-0.077257091053242,-0.7097009432578298,-4.697862048613114,G3,Tipica
