EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
4,CAMPECHE,2,CALKINI,11,40964.0,1360.6802043158134,0.987697201690319,0.0543329987388361,0.0022752112286354,0.0204124010202064,0.1107082525158675,-0.6421179081111322,-0.4158981501047309,-0.0380502089893619,-0.4037310302429561,0.1805090281646899,0.0649017246058187,-0.1975372116927601,G2,Tipica
4,CAMPECHE,1,CAMPECHE,22,205770.0,3469.451373957026,0.9900814882630068,0.0468665737339614,0.0016881619835957,0.0171171220691003,0.0834290856933882,-2.523879853705571,0.3021655382778068,0.3474228664605513,0.109900948430982,0.8249654336697813,0.1264704300210618,-0.3639448366804091,G0,Atípica en ICE principal
4,CAMPECHE,3,CARMEN,24,177598.0,87.95264519587916,0.9879898673798556,0.0400079641146364,0.0013411033282195,0.0141813519066785,-0.3229074584393799,-1.5336132419949895,-1.0699847366413566,0.3869053795058503,-0.1661276430795058,1.668579282651466,0.1360506735907007,0.6606087790572521,G0,Tipica
5,COAHUILA,13,HIDALGO,0,1137.0,578.2655699725017,0.9760377508573762,0.0537534754402224,0.0040133772521701,0.0157649287661529,-0.9602151122804252,0.7560044927746997,-0.1337770035429162,-1.478837447102325,-2.1203602780319475,1.9486139918616483,-0.2427380380635835,0.2336160361259772,G2,Tipica
5,COAHUILA,2,ACUÐA,1,115403.0,13.934664149274644,0.9875804691737898,0.0830064378085174,0.0069003905190824,0.0310049503986116,0.8409633152159266,0.3169815432835427,0.7103543472071668,0.6374309507212083,0.312663342635528,-0.7789509412010206,0.6206099985735661,1.0171206796722458,G0,Tipica
5,COAHUILA,14,JIMENEZ,6,8099.0,25.19920593403521,0.9863611965494432,0.0818861875500935,0.0057392807392597,0.02763802783626,0.9865674069248298,0.785922379793315,0.2323374779185134,0.9469620439091182,0.2996231970478106,-0.9406466636503316,0.2210324132716918,0.2154923642292143,G0,Tipica
5,COAHUILA,31,SAN BUENAVENTURA,3,18039.0,3.492839145077125,0.9809972325555636,0.0633068081343943,0.0080183105372577,0.0215620415809861,0.971294149525878,1.4004865911391284,0.7890380544357891,0.4906049173683182,0.5459076771099362,-0.3836324486694822,-0.2311161938627258,0.3586479385301501,G0,Tipica
5,COAHUILA,24,PARRAS,16,33455.0,4.265010873309119,0.9859198692488644,0.0333909927719775,0.0026413004604025,0.0127955684758276,0.7949116328450742,-0.0063488909655778,-0.6181519068299186,0.7014534930409886,0.811015569150586,-0.1136498576600947,-0.6940442811296814,0.0743885136104613,G0,Tipica
5,COAHUILA,38,ZARAGOZA,5,10699.0,43.23016548574567,0.9838039450073952,0.0688311688311688,0.007846228649337,0.0251821113964119,0.9713157592971418,1.161583169524865,0.5487514559416279,0.6364263081165145,0.5916162848577349,-0.5696551667398586,0.1029687943432276,0.2306699136233524,G0,Tipica
5,COAHUILA,30,SALTILLO,37,589670.0,190.0773087767392,0.9881141135881888,0.0734564069329478,0.0050780877265261,0.0282735478556312,0.7904443040333108,-3.0697600797267666,1.3333269307648268,2.9965710112212656,1.737868837393465,1.9404141307958804,0.430368897796779,2.578019408827423,G1,Atípica en tercer ICE
5,COAHUILA,23,OCAMPO,10,7074.0,1.0436569605964685,0.9668959732771496,0.0304442825928623,0.0034047079044901,0.0108816593543428,-0.1233415413530155,1.5619696232362557,0.3228850715840218,-0.3047431849185148,-1.002578475560008,2.2394106001800367,-2.0458754016296656,0.14757877322005,G2,Atípica en ICE principal
5,COAHUILA,34,SIERRA MOJADA,3,3555.0,0.6094707505516751,0.9466425846446804,0.0406908665105386,0.0028719593048938,0.0163095250514726,-0.1339394953856796,3.325374003865496,1.9165805169892165,-0.227076365608876,-2.241184045474149,3.4566387682269517,-4.114882912412456,0.4018924535501961,G4,Tipica
5,COAHUILA,36,VIESCA,18,14852.0,9.409479874349133,0.9878484432786944,0.0419531359618352,0.0015457073728912,0.0158455443486462,0.1484058167977385,-0.3936936052084691,-1.2595797270636533,0.3332720213719792,-0.0315549945995669,0.4587819678279874,-0.1430243664614676,-0.0860459560269785,G0,Tipica
5,COAHUILA,17,MATAMOROS,29,81173.0,2953.169247026852,0.9869106324878264,0.0569951559977082,0.0040982451446477,0.0197182625413724,0.8313923492327068,-1.1254978894188783,0.4038108459018102,1.4363985440163416,0.9135962023800852,0.3317952987344207,-0.203208713510416,-1.1977057202931016,G1,Tipica
5,COAHUILA,25,PIEDRAS NEGRAS,3,129550.0,672.8559787172688,0.9885190820736258,0.0731978063853405,0.0050784870525426,0.0276171866103156,0.8009306030836684,-0.268500611543077,0.599663210287145,0.5454802568971222,0.3094805866139604,-0.7742692528688067,0.3569431576448268,0.8140929394411199,G0,Tipica
5,COAHUILA,9,FRANCISCO I. MADERO,24,42302.0,15.073572544921907,0.9871309249487538,0.061397566177393,0.0046687356388537,0.0208538665163094,0.6873901297113916,-0.0468230485413798,-0.5513016280558017,1.3863255093376108,0.7201207202226939,0.3071503993429579,0.1219668600117312,-0.178705767019526,G0,Tipica
