Componentes Principales,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE
CP1,-0.23554768763552075,-0.27804967155758786,-0.0923588895911257,-0.505644796711528,0.3503710067225238,0.3957519320154242,0.5402008333044757,0.17833246400973335
CP2,-0.426498151712744,-0.5911280569025257,-0.11940651608631786,-0.0812768324870213,-0.4492785905553057,0.18393682934859737,-0.32107075755749487,-0.3302009492181113
CP3,0.5158587542180578,-0.08064976681766886,-0.7977164722302276,-0.20653772503351803,0.026179936256014495,-0.06181962582700595,-0.05091138914577566,-0.20316725655202442
CP4,0.23474082727039253,0.13398706910764777,-0.06621829299263347,0.014106808276641914,-0.4874047460858237,0.5752671343365574,-0.1241629349448043,0.5817630515844515
CP5,0.3238259003976553,0.2792508133037807,0.40238827327017257,-0.39366199173135946,-0.1479836631386643,0.3448317553587516,0.026343098747388338,-0.5989721365724968
CP6,0.06061166700693012,-0.08165171510584866,-0.11250967373610674,0.730541868750996,0.17201617117056964,0.4855534239717111,0.28451156479102574,-0.31146565362145356
CP7,0.5767519850199491,-0.6812862833721384,0.40113801133956073,0.05517850176310452,0.06682458581595488,-0.11738904251057254,0.016160560807091252,0.1440239576238142
CP8,0.0149419869500439,-0.0002483787200571088,-0.03144890688577783,0.056166977564578516,-0.6174025244343707,-0.3261019086022942,0.7107645681255458,-0.05402137490160107
