Componentes Principales,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Autocorr_LNE
CP1,-0.44275465755156057,-0.5910585425148464,-0.16528089361930198,-0.47430924884139397,-0.00792862867018763,0.44801560651481404,-0.039372939579326575
CP2,0.33353623720199616,0.27902979951369433,-0.17703028826159425,-0.40330421402036926,0.5170442527740011,0.26121895805095074,0.530407234185264
CP3,0.4356126934467715,-0.14813438898079728,-0.7628932573638999,-0.10441755576707992,-0.04037676167777956,-0.19243061841182296,-0.3958898966123315
CP4,0.26110862158569587,0.05579706815733368,-0.153531082472836,0.17997666930870942,-0.7170638318911803,0.48386506983656835,0.3527600251212101
CP5,0.31784631846620054,0.2834871419086054,0.4093493311080827,-0.42113382763513985,-0.11535435437906287,0.3396153593195685,-0.5874035777834041
CP6,0.039417213911902164,-0.05738102489164479,-0.08329782503044492,0.6233694602442417,0.4433236337310995,0.5770548090585691,-0.2647594997873364
CP7,0.5763729364015177,-0.681232352905218,0.4015708969688945,0.05602352385629257,0.08336116800993962,-0.10752152631103445,0.14425302793771058
