EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-0.39641016817190533,0.3127479002581424,-2.048180284530347,1.0634886966088866,0.07859481345230108,0.29330407972802014,-0.20613557053921108
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-0.33686913571831056,-0.6649046855484931,0.16295273714743314,1.4134508811223865,-1.6757855847781982,-0.495802938898551,-0.24928252675230358
1,AGUASCALIENTES,9,TEPEZALA,-0.6727403695991085,-0.6403972404430264,-1.4165363120937147,1.2639315693855933,-0.19863383027482384,-0.32889431574117667,0.22122278810287
1,AGUASCALIENTES,11,EL LLANO,-0.6902251383435123,-0.6210528114938787,-1.3069827278858035,1.5377609147252542,-0.49310350810201453,-0.47716173430379866,0.16227610280845922
1,AGUASCALIENTES,2,ASIENTOS,-1.0205498788941436,-0.24965285932547956,-1.0571005684493815,1.4372081385025703,0.07628455629874059,-0.5621373181574494,0.010152298111210416
1,AGUASCALIENTES,3,CALVILLO,-1.3790089018104545,-0.14932413642302889,-0.5162070537536363,1.85998231788725,-0.3931603562871524,-0.5185307367608081,-0.20687098697150932
1,AGUASCALIENTES,4,COSIO,-0.40381283048570105,-0.82250789234462,-1.5913875605874992,1.276288864012854,-0.39000683112753476,-0.6070334057920319,0.16987130321661584
1,AGUASCALIENTES,5,JESUS MARIA,-1.3406899175031903,-0.29253377935747105,-1.6586787643668255,1.1803037893842188,0.12265259277700044,-0.2106328273133777,-0.4575527119913226
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-1.2911555544371809,-0.9152923161910679,-1.7701221517574786,1.1563454717734762,-0.1862697951362233,-0.35993298115300576,0.06291966884633116
1,AGUASCALIENTES,7,RINCON DE ROMOS,-1.2328943611014072,-0.6111224857004919,-1.6959613364860149,1.3587953402611306,-0.21395741613345695,-0.3918140997317673,-0.04505094467822748
1,AGUASCALIENTES,1,AGUASCALIENTES,-2.3490658748622057,-0.21252000115794964,-1.8466463134346656,1.3178693280503175,0.8422966966805989,-0.5689650484870876,-1.1102499434969986
2,BAJA CALIFORNIA,2,MEXICALI,-3.437367857167268,1.2203069626787775,-0.3970475485440233,2.2250095300063033,1.5028463451558531,-0.5630483070220231,0.2687972598170825
2,BAJA CALIFORNIA,4,TIJUANA,-3.095997873447515,0.7630454732712892,-1.4098714957675644,1.7460154373860952,1.5752507833012575,-0.5978718588266692,-0.5635378507166366
2,BAJA CALIFORNIA,3,TECATE,-0.9484349473640347,-0.3890308804529272,-1.5394179092973324,1.6162171591879508,0.12292794117416068,-0.8626303445117938,-0.8043867877048442
2,BAJA CALIFORNIA,1,ENSENADA,-2.5950912180287875,1.336253744920752,1.5672152575630605,2.4249122800155645,0.30830250449202046,-0.5054942713454328,-0.6860193905907506
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-0.8155083840928902,-0.04893624824310251,-1.8494981971117075,1.243411415799103,0.35492349000501333,-0.5793362704294333,-0.796757268794883
3,BAJA CALIFORNIA SUR,1,COMONDU,-1.390473321496164,1.4064100939712967,1.4061009451861923,0.4085750738590474,-0.5283233748953426,-0.08971084902851496,-0.3300065156805129
3,BAJA CALIFORNIA SUR,3,LA PAZ,-2.2949919297308092,1.5693904358467152,0.9038749069370307,0.9202853917761195,-0.2821112794136768,0.1082492193818313,-0.5062773362690318
3,BAJA CALIFORNIA SUR,5,LORETO,0.03864252490295225,-0.8970926286970589,2.242550061899674,-0.7402524115922842,-0.23582926038584298,0.039150211605777,-1.2531760251307873
3,BAJA CALIFORNIA SUR,4,LOS CABOS,-1.635221824709956,1.3500798034602908,-1.1148279592098982,0.13491426805659767,-0.015274084552863705,0.3140118029317692,-0.763590690855243
3,BAJA CALIFORNIA SUR,2,MULEGE,-0.5404349282561414,1.2439908677320637,2.0098865957993617,-0.3475287528709749,-0.22734744955956848,-0.1811362805735755,-0.9318097317656475
4,CAMPECHE,8,TENABO,-0.4053972162545284,-0.4816245754221263,-0.6866122607882312,-0.4966628914896782,-0.2801095902800837,0.33662939741082154,0.27283453849352246
4,CAMPECHE,9,ESCARCEGA,-0.9048455511965119,0.5844378730848234,-0.6168987502891856,-0.252866210805972,0.9127387990346374,-0.349591269921077,0.18792137029693493
4,CAMPECHE,5,HECELCHAKAN,-0.9357073330235377,0.19239996048875457,-1.036012406451004,-0.11041493272344295,-0.4365135314055442,-0.09735830187495673,0.14126084341282227
4,CAMPECHE,6,HOPELCHEN,-0.9893868374760726,0.4729277782368838,1.5107216338673666,0.3600020917485875,0.10295584769467701,0.1690111270389126,-0.2118110415090984
4,CAMPECHE,11,CALAKMUL,-0.7908268410776587,-0.6473314839608819,1.9564364706589232,0.8982480714962935,-0.10916036397061443,0.281885743293959,-0.6504875876774824
4,CAMPECHE,7,PALIZADA,0.42536437628591744,0.653540341639506,1.378473297029748,0.7424500366645312,-1.2354573388039412,-0.6773486576557501,-0.5037815715207496
4,CAMPECHE,10,CANDELARIA,-1.1249304890672536,0.8076207027887917,0.8812594090451497,0.4086549646650702,0.47061188325526726,-0.12932485068401373,0.2225580693637965
4,CAMPECHE,4,CHAMPOTON,-1.9766937097808286,-0.33174837956325204,0.2648998187113088,-0.4598994669660569,1.710093149304914,0.2177257328174286,0.37963610872798315
4,CAMPECHE,2,CALKINI,-1.1859235353045248,-0.33409452107316984,-0.3643988447025729,-0.4171835350269685,0.7062614707736646,-0.04038941615893364,-0.13456182489630275
